component_type,criticality,status,action,strategy_type,upstream_callers_count,downstream_deps_count,total_affected_count,critical_callers_count,max_dependency_depth,is_spof,cross_env_links,cpu_percent,has_cpu_telemetry,storage_gb,has_storage_telemetry,cost_per_month,risk_score,simulated_downtime_minutes,has_downtime_metric,simulated_cost_delta,has_cost_metric,strategy_complexity,provides_redundancy,requires_data_sync,zero_downtime_capable,suitability_score,is_suitable_label
storage,low,degraded,restart,auto_scaling_group,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,2,1,0,1,0.1095,0
storage,low,degraded,restart,dependency_circuit_breaker,2,1,3,2,0,0,0,-1.0,0,605.7,1,2021.68,60,45.3,1,0.0,1,3,0,0,0,0.5126,0
storage,low,warning,migrate,direct_lift_shift,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,1,0,0,0,0.1137,0
storage,low,warning,migrate,phased_blue_green,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,2,1,1,1,0.5935,0
storage,low,warning,migrate,multi_az_modernize,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,3,1,0,1,0.5586,0
storage,low,warning,migrate,read_replica_offload,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,3,0,1,0,0.091,0
storage,low,warning,migrate,auto_scaling_group,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,2,1,0,1,0.1527,0
storage,low,warning,migrate,dependency_circuit_breaker,6,0,6,4,2,0,2,69.9,1,-1.0,0,585.19,60,24.9,1,117.04,1,3,0,0,0,0.843,1
application,critical,active,migrate,direct_lift_shift,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,1,0,0,0,0.2282,0
application,critical,active,migrate,phased_blue_green,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,2,1,1,1,0.98,1
application,critical,active,migrate,multi_az_modernize,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,3,1,0,1,0.854,1
application,critical,active,migrate,read_replica_offload,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,3,0,1,0,0.115,0
application,critical,active,migrate,auto_scaling_group,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,2,1,0,1,0.476,0
application,critical,active,migrate,dependency_circuit_breaker,6,2,8,3,2,0,2,32.7,1,-1.0,0,2342.9,90,24.9,1,468.58,1,3,0,0,0,0.8883,1
storage,critical,warning,scale,direct_lift_shift,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,1,0,0,0,0.2259,0
storage,critical,warning,scale,phased_blue_green,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,2,1,1,1,0.7241,1
storage,critical,warning,scale,multi_az_modernize,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,3,1,0,1,0.8995,1
storage,critical,warning,scale,read_replica_offload,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,3,0,1,0,0.0577,0
storage,critical,warning,scale,auto_scaling_group,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,2,1,0,1,0.1829,0
storage,critical,warning,scale,dependency_circuit_breaker,8,5,13,1,1,1,0,88.7,1,223.5,1,824.22,100,31.2,1,412.11,1,3,0,0,0,0.8512,1
server,high,active,restart,direct_lift_shift,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,1,0,0,0,0.2584,0
server,high,active,restart,phased_blue_green,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,2,1,1,1,0.5716,0
server,high,active,restart,multi_az_modernize,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,3,1,0,1,0.98,1
server,high,active,restart,read_replica_offload,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,3,0,1,0,0.1079,0
server,high,active,restart,auto_scaling_group,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,2,1,0,1,0.5295,0
server,high,active,restart,dependency_circuit_breaker,6,2,8,0,1,1,0,71.0,1,501.7,1,2214.01,72,45.1,1,0.0,1,3,0,0,0,0.5069,0
storage,low,active,restart,direct_lift_shift,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,1,0,0,0,0.5954,0
storage,low,active,restart,phased_blue_green,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,2,1,1,1,0.638,0
storage,low,active,restart,multi_az_modernize,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,3,1,0,1,0.4409,0
storage,low,active,restart,read_replica_offload,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,3,0,1,0,0.0712,0
storage,low,active,restart,auto_scaling_group,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,2,1,0,1,0.1316,0
storage,low,active,restart,dependency_circuit_breaker,2,1,3,2,4,0,0,86.3,1,223.2,1,2493.89,60,46.2,1,0.0,1,3,0,0,0,0.5423,0
container,low,active,migrate,direct_lift_shift,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,1,0,0,0,0.8637,1
container,low,active,migrate,phased_blue_green,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,2,1,1,1,0.4295,0
container,low,active,migrate,multi_az_modernize,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,3,1,0,1,0.513,0
container,low,active,migrate,read_replica_offload,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,3,0,1,0,0.0846,0
container,low,active,migrate,auto_scaling_group,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,2,1,0,1,0.4729,0
container,low,active,migrate,dependency_circuit_breaker,1,1,2,1,3,0,0,60.7,1,-1.0,0,1180.76,38,29.9,1,236.15,1,3,0,0,0,0.5245,0
application,critical,warning,migrate,direct_lift_shift,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,1,0,0,0,0.2912,0
application,critical,warning,migrate,phased_blue_green,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,2,1,1,1,0.98,1
application,critical,warning,migrate,multi_az_modernize,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,3,1,0,1,0.8664,1
application,critical,warning,migrate,read_replica_offload,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,3,0,1,0,0.0876,0
application,critical,warning,migrate,auto_scaling_group,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,2,1,0,1,0.5133,0
application,critical,warning,migrate,dependency_circuit_breaker,8,6,14,2,2,0,3,10.3,1,-1.0,0,1810.79,95,24.9,1,362.16,1,3,0,0,0,0.939,1
storage,medium,warning,scale,direct_lift_shift,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,1,0,0,0,0.2308,0
storage,medium,warning,scale,phased_blue_green,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,2,1,1,1,0.6426,0
storage,medium,warning,scale,multi_az_modernize,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,3,1,0,1,0.4557,0
storage,medium,warning,scale,read_replica_offload,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,3,0,1,0,0.0522,0
storage,medium,warning,scale,auto_scaling_group,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,2,1,0,1,0.1825,0
storage,medium,warning,scale,dependency_circuit_breaker,8,0,8,2,4,0,0,23.0,1,541.7,1,1950.99,50,62.1,1,975.5,1,3,0,0,0,0.9542,1
container,critical,warning,restart,direct_lift_shift,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,1,0,0,0,0.2471,0
container,critical,warning,restart,phased_blue_green,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,2,1,1,1,0.6901,0
container,critical,warning,restart,multi_az_modernize,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,3,1,0,1,0.9145,1
container,critical,warning,restart,read_replica_offload,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,3,0,1,0,0.0742,0
container,critical,warning,restart,auto_scaling_group,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,2,1,0,1,0.9645,1
container,critical,warning,restart,dependency_circuit_breaker,7,0,7,0,2,0,0,80.7,1,-1.0,0,782.64,90,-1.0,0,0.0,1,3,0,0,0,0.5615,0
server,high,warning,migrate,direct_lift_shift,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,1,0,0,0,0.5986,0
server,high,warning,migrate,phased_blue_green,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,2,1,1,1,0.9126,1
server,high,warning,migrate,multi_az_modernize,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,3,1,0,1,0.98,1
server,high,warning,migrate,read_replica_offload,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,3,0,1,0,0.1329,0
server,high,warning,migrate,auto_scaling_group,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,2,1,0,1,0.5035,0
server,high,warning,migrate,dependency_circuit_breaker,1,5,6,1,0,0,1,-1.0,0,552.1,1,677.34,60,42.6,1,135.47,1,3,0,0,0,0.488,0
container,low,active,scale,direct_lift_shift,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,1,0,0,0,0.2537,0
container,low,active,scale,phased_blue_green,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,2,1,1,1,0.5705,0
container,low,active,scale,multi_az_modernize,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,3,1,0,1,0.8912,1
container,low,active,scale,read_replica_offload,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,3,0,1,0,0.1143,0
container,low,active,scale,auto_scaling_group,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,2,1,0,1,0.98,1
container,low,active,scale,dependency_circuit_breaker,4,3,7,2,3,1,0,31.1,1,-1.0,0,178.78,58,-1.0,0,89.39,1,3,0,0,0,0.8793,1
server,high,warning,scale,direct_lift_shift,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,1,0,0,0,0.5677,0
server,high,warning,scale,phased_blue_green,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,2,1,1,1,0.4799,0
server,high,warning,scale,multi_az_modernize,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,3,1,0,1,0.98,1
server,high,warning,scale,read_replica_offload,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,3,0,1,0,0.1132,0
server,high,warning,scale,auto_scaling_group,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,2,1,0,1,0.9288,1
server,high,warning,scale,dependency_circuit_breaker,0,0,0,0,0,0,0,87.0,1,75.5,1,610.25,50,18.8,1,305.12,1,3,0,0,0,0.1705,0
storage,low,active,scale,direct_lift_shift,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,1,0,0,0,0.2539,0
storage,low,active,scale,phased_blue_green,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,2,1,1,1,0.6887,0
storage,low,active,scale,multi_az_modernize,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,3,1,0,1,0.4719,0
storage,low,active,scale,read_replica_offload,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,3,0,1,0,0.0869,0
storage,low,active,scale,auto_scaling_group,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,2,1,0,1,0.1343,0
storage,low,active,scale,dependency_circuit_breaker,7,1,8,3,3,0,0,-1.0,0,426.5,1,1178.22,43,51.3,1,589.11,1,3,0,0,0,0.8415,1
storage,critical,warning,migrate,direct_lift_shift,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,1,0,0,0,0.1618,0
storage,critical,warning,migrate,phased_blue_green,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,2,1,1,1,0.5104,0
storage,critical,warning,migrate,multi_az_modernize,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,3,1,0,1,0.9002,1
storage,critical,warning,migrate,read_replica_offload,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,3,0,1,0,0.0906,0
storage,critical,warning,migrate,auto_scaling_group,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,2,1,0,1,0.0934,0
storage,critical,warning,migrate,dependency_circuit_breaker,0,3,3,0,0,0,0,26.2,1,424.8,1,710.79,50,36.2,1,142.16,1,3,0,0,0,0.1332,0
database,critical,degraded,migrate,direct_lift_shift,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,1,0,0,0,0.1363,0
database,critical,degraded,migrate,phased_blue_green,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,2,1,1,1,0.8179,1
database,critical,degraded,migrate,multi_az_modernize,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,3,1,0,1,0.98,1
database,critical,degraded,migrate,read_replica_offload,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,3,0,1,0,0.9662,1
database,critical,degraded,migrate,auto_scaling_group,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,2,1,0,1,0.2254,0
database,critical,degraded,migrate,dependency_circuit_breaker,0,5,5,0,0,0,0,88.7,1,170.5,1,1224.39,70,38.5,1,244.88,1,3,0,0,0,0.157,0
database,low,active,scale,direct_lift_shift,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,1,0,0,0,0.2603,0
database,low,active,scale,phased_blue_green,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,2,1,1,1,0.647,0
database,low,active,scale,multi_az_modernize,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,3,1,0,1,0.6232,0
database,low,active,scale,read_replica_offload,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,3,0,1,0,0.9489,1
database,low,active,scale,auto_scaling_group,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,2,1,0,1,0.1524,0
database,low,active,scale,dependency_circuit_breaker,6,0,6,3,2,0,0,76.7,1,698.1,1,1831.65,43,74.9,1,915.83,1,3,0,0,0,0.98,1
container,low,active,scale,direct_lift_shift,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,1,0,0,0,0.2423,0
container,low,active,scale,phased_blue_green,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,2,1,1,1,0.6621,0
container,low,active,scale,multi_az_modernize,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,3,1,0,1,0.8986,1
container,low,active,scale,read_replica_offload,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,3,0,1,0,0.0533,0
container,low,active,scale,auto_scaling_group,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,2,1,0,1,0.98,1
container,low,active,scale,dependency_circuit_breaker,4,1,5,0,4,1,0,-1.0,0,-1.0,0,797.74,58,-1.0,0,398.87,1,3,0,0,0,0.5301,0
server,low,warning,scale,direct_lift_shift,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,1,0,0,0,0.6316,0
server,low,warning,scale,phased_blue_green,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,2,1,1,1,0.4636,0
server,low,warning,scale,multi_az_modernize,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,3,1,0,1,0.7561,1
server,low,warning,scale,read_replica_offload,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,3,0,1,0,0.05,0
server,low,warning,scale,auto_scaling_group,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,2,1,0,1,0.9735,1
server,low,warning,scale,dependency_circuit_breaker,0,4,4,0,0,0,0,15.8,1,-1.0,0,2157.31,13,-1.0,0,1078.65,1,3,0,0,0,0.2376,0
lambda,critical,warning,scale,direct_lift_shift,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,1,0,0,0,0.8104,1
lambda,critical,warning,scale,phased_blue_green,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,2,1,1,1,0.2773,0
lambda,critical,warning,scale,multi_az_modernize,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,3,1,0,1,0.804,1
lambda,critical,warning,scale,read_replica_offload,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,3,0,1,0,0.0799,0
lambda,critical,warning,scale,auto_scaling_group,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,2,1,0,1,0.438,0
lambda,critical,warning,scale,dependency_circuit_breaker,0,4,4,0,0,0,0,59.6,1,-1.0,0,1316.5,43,-1.0,0,658.25,1,3,0,0,0,0.1527,0
application,high,warning,restart,direct_lift_shift,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,1,0,0,0,0.2075,0
application,high,warning,restart,phased_blue_green,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,2,1,1,1,0.6689,0
application,high,warning,restart,multi_az_modernize,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,3,1,0,1,0.8632,1
application,high,warning,restart,read_replica_offload,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,3,0,1,0,0.162,0
application,high,warning,restart,auto_scaling_group,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,2,1,0,1,0.4687,0
application,high,warning,restart,dependency_circuit_breaker,3,2,5,3,1,1,0,36.9,1,-1.0,0,1884.62,72,-1.0,0,0.0,1,3,0,0,0,0.8871,1
server,critical,degraded,migrate,direct_lift_shift,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,1,0,0,0,0.6325,0
server,critical,degraded,migrate,phased_blue_green,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,2,1,1,1,0.8008,1
server,critical,degraded,migrate,multi_az_modernize,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,3,1,0,1,0.98,1
server,critical,degraded,migrate,read_replica_offload,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,3,0,1,0,0.1523,0
server,critical,degraded,migrate,auto_scaling_group,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,2,1,0,1,0.4357,0
server,critical,degraded,migrate,dependency_circuit_breaker,1,4,5,1,4,0,2,-1.0,0,73.4,1,625.83,98,38.7,1,125.17,1,3,0,0,0,0.5074,0
application,high,degraded,restart,direct_lift_shift,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,1,0,0,0,0.2604,0
application,high,degraded,restart,phased_blue_green,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,2,1,1,1,0.6813,0
application,high,degraded,restart,multi_az_modernize,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,3,1,0,1,0.8505,1
application,high,degraded,restart,read_replica_offload,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,3,0,1,0,0.05,0
application,high,degraded,restart,auto_scaling_group,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,2,1,0,1,0.5209,0
application,high,degraded,restart,dependency_circuit_breaker,8,0,8,4,2,0,0,18.8,1,-1.0,0,2197.75,77,-1.0,0,0.0,1,3,0,0,0,0.9119,1
application,critical,active,scale,direct_lift_shift,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,1,0,0,0,0.26,0
application,critical,active,scale,phased_blue_green,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,2,1,1,1,0.6639,0
application,critical,active,scale,multi_az_modernize,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,3,1,0,1,0.8728,1
application,critical,active,scale,read_replica_offload,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,3,0,1,0,0.1093,0
application,critical,active,scale,auto_scaling_group,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,2,1,0,1,0.9617,1
application,critical,active,scale,dependency_circuit_breaker,4,2,6,4,1,1,0,63.9,1,-1.0,0,674.68,88,-1.0,0,337.34,1,3,0,0,0,0.8714,1
lambda,medium,active,migrate,direct_lift_shift,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,1,0,0,0,0.3246,0
lambda,medium,active,migrate,phased_blue_green,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,2,1,1,1,0.469,0
lambda,medium,active,migrate,multi_az_modernize,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,3,1,0,1,0.3523,0
lambda,medium,active,migrate,read_replica_offload,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,3,0,1,0,0.1263,0
lambda,medium,active,migrate,auto_scaling_group,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,2,1,0,1,0.461,0
lambda,medium,active,migrate,dependency_circuit_breaker,6,6,12,2,0,0,1,32.3,1,-1.0,0,1858.25,62,14.9,1,371.65,1,3,0,0,0,0.9315,1
container,low,warning,migrate,direct_lift_shift,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,1,0,0,0,0.8963,1
container,low,warning,migrate,phased_blue_green,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,2,1,1,1,0.4672,0
container,low,warning,migrate,multi_az_modernize,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,3,1,0,1,0.5385,0
container,low,warning,migrate,read_replica_offload,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,3,0,1,0,0.1165,0
container,low,warning,migrate,auto_scaling_group,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,2,1,0,1,0.5329,0
container,low,warning,migrate,dependency_circuit_breaker,1,0,1,1,4,0,0,59.5,1,-1.0,0,387.27,38,35.0,1,77.45,1,3,0,0,0,0.5759,0
